Institute,Program,Seat Type,Gender,OR,CR
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",EWS,Gender-Neutral,2062,2267
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",EWS,"Female-only
(including
Supernumerary)",3638,4265
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",OBC-NCL,Gender-Neutral,4115,5231
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",OBC-NCL,"Female-only
(including
Supernumerary)",7450,8720
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",OPEN,Gender-Neutral,9106,14782
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",OPEN,"Female-only
(including
Supernumerary)",18286,23024
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",SC,Gender-Neutral,2381,2587
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",SC,"Female-only
(including
Supernumerary)",4031,4293
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",ST,Gender-Neutral,753,977
IITBhubaneswar,"CivilEngineering(4YearsBachelorof
Technology)",ST,"Female-only
(including
Supernumerary)",1718,1750
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",EWS,Gender-Neutral,400,466
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",EWS,"Female-only
(including
Supernumerary)",1025,1025
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",OBC-NCL,Gender-Neutral,774,1237
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",OBC-NCL,"Female-only
(including
Supernumerary)",2107,3291
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)","OBC-NCL
(PwD)",Gender-Neutral,31,31
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",OPEN,Gender-Neutral,2389,3685
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",OPEN,"Female-only
(including
Supernumerary)",4833,7557
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",OPEN(PwD),"Female-only
(including
Supernumerary)",197,197
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",SC,Gender-Neutral,382,596
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",SC,"Female-only
(including
Supernumerary)",1279,1313
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",SC(PwD),Gender-Neutral,30,30
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",ST,Gender-Neutral,241,356
IITBhubaneswar,"ComputerScienceandEngineering(4
YearsBachelorofTechnology)",ST,"Female-only
(including
Supernumerary)",546,649
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",EWS,Gender-Neutral,1013,1261
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",EWS,"Female-only
(including
Supernumerary)",2194,2249
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",OBC-NCL,Gender-Neutral,2167,2876
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",OBC-NCL,"Female-only
(including
Supernumerary)",5899,6611
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",OPEN,Gender-Neutral,5381,7661
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",OPEN,"Female-only
(including
Supernumerary)",12140,14183
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",OPEN(PwD),Gender-Neutral,262,262
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",SC,Gender-Neutral,1105,1762
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",SC,"Female-only
(including
Supernumerary)",2081,2081
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",ST,Gender-Neutral,667,792
IITBhubaneswar,"ElectricalEngineering(4YearsBachelor
ofTechnology)",ST,"Female-only
(including
Supernumerary)",1179,1179
IITBhubaneswar,"ElectronicsandCommunication
Engineering(4YearsBachelorof
Technology)",EWS,Gender-Neutral,601,738
IITBhubaneswar,"ElectronicsandCommunication
Engineering(4YearsBachelorof
Technology)",EWS,"Female-only
(including
Supernumerary)",1941,1941
